artist_name,artist_genres
2 Chainz,['hip hop']
24kGoldn,['pop']
5 Seconds of Summer,['pop']
6ix9ine,['rap']
A Boogie Wit da Hoodie,['rap']
Aaron Smith,['chicago house']
ACRAZE,['electronic']
Adele,['pop']
Alan Walker,['electro house']
Alec Benjamin,['pop']
Alejo,['reggaeton']
Alex Rose,['latin']
Ali Gatie,['pop']
Alvaro Soler,['latin']
Anitta,['pop']
Anne Marie,['pop']
Anuel AA,['latin']
Apache 207,['hip hop']
Arcangel,['latin']
Arctic Monkeys,['rock']
Ariana Grande,['pop']
Arizona Zervas,['pop']
ASAP Rocky,['hip hop']
Ashley O,['pop']
ATB,['electronic']
AURORA,['sleep']
Ava Max,['pop']
Avicii,['pop']
Axwell Ingrosso,['pop']
Aya Nakamura,['pop']
Bad Bunny,['latin']
BANDIDO,['latin']
Bas,['punk']
Bazzi,['pop']
Bebe Rexha,['pop']
Becky G,['latin']
Bella Poarch,['pop']
BENEE,['pop']
benny blanco,['rap']
Benson Boone,['pop']
Beyonce,['pop']
BIA,['pop']
Billie Eilish,['hip hop']
Bizarrap,['hip hop']
Black Eyed Peas,['pop']
blackbear,['hip hop']
BLACKPINK,['k pop']
BLANCO,['rap']
Blanco Brown,['country']
BlocBoy JB,['hip hop']
Brent Faiyaz,['pop']
Bruno Mars,['pop']
Brytiago,['latin']
BTS,['k pop']
Burna Boy,['hip hop']
Bushido,['japanese chillhop']
Calvin Harris,['pop']
Camila Cabello,['pop']
Camilo,['pop']
Capital Bra,['hip hop']
Cardi B,['pop']
Charlie Puth,['pop']
Cheat Codes,['rap']
Childish Gambino,['hip hop']
Chris Brown,['pop']
Chris Jedi,['latin']
Cigarettes After Sex,['pop']
Clean Bandit,['pop']
Cochise,['hip hop']
Coldplay,['pop']
Conan Gray,['pop']
Conkarah,['jawaiian']
Coolio,['hip hop']
Cosculluela,['latin']
Cris Mj,['urbano chileno']
Curtis Waters,['Indie Rock']
DaBaby,['pop']
Daddy Yankee,['latin']
Dalex,['latin']
Dan and Shay,['pop']
Danny Ocean,['latin']
Dave,['pop']
David Guetta,['pop']
Dean Lewis,['pop']
Demi Lovato,['pop']
Dennis Lloyd,['pop']
dhruv,['pop']
Dimitri Vegas and Like Mike,['pop']
Dj Guuga,['arrocha']
DJ Luian,['latin']
DJ Robin,['pop']
DJ Snake,['rap']
Doja Cat,['rap']
Dominic Fike,['pop']
Don Toliver,['pop']
Dove Cameron,['pop']
Drake,['hip hop']
DripReport,['rap']
Dua Lipa,['hip hop']
Duncan Laurence,['pop']
Dynoro,['pop']
Ed Sheeran,['pop']
Ella Mai,['rap']
Elley Duhe,['pop']
Ellie Goulding,['pop']
Elton John,['glam rock']
Eminem,['hip hop']
Famous Dex,['hip hop']
Farruko,['latin']
Feid,['reggaeton']
Fivio Foreign,['hip hop']
Fleetwood Mac,['rock']
Florida Georgia Line,['pop']
French Montana,['hip hop']
Future,['hip hop']
Galantis,['pop']
GAYLE,['pop']
George Ezra,['pop']
Gera MX,['hip hop']
Giveon,['pop']
Glass Animals,['pop']
Gunna,['rap']
Guns N Roses,['rock']
Gusttavo Lima,['arrocha']
Halsey,['pop']
Harry Nach,['trap latino']
Harry Styles,['pop']
Hozier,['pop']
Imagine Dragons,['rock']
Imanbek,['pop']
Internet Money,['rap']
Israel and Rodolffo,['pop']
J Balvin,['latin']
J Cole,['hip hop']
j hope,['k pop']
Jack Harlow,['hip hop']
JACKBOYS,['rap']
James Arthur,['pop']
James Hype,['pop']
Jamie Miller,['pop']
Jason Mraz,['pop']
Jawsh 685,['pop']
Jax Jones,['pop']
Jay Wheeler,['latin']
Jaymes Young,['pop']
Jeremy Zucker,['pop']
Jess Glynne,['pop']
Jhay Cortez,['latin']
Joao Gomes,['arrocha']
Joel Corry,['pop']
John Legend,['pop']
John Mayer,['pop']
Joji,['pop']
Jonas Blue,['pop']
Jonas Brothers,['pop']
JP Saxe,['pop']
Juanfran,['pop']
Juice WRLD,['rap']
Julia Michaels,['pop']
Justin Bieber,['pop']
Justin Quiles,['reggaeton']
Justin Wellington,['pop']
Kali Uchis,['hip hop']
Kane Brown,['country']
Kanye West,['rap']
KAROL G,['latin']
Kate Bush,['pop']
Katy Perry,['pop']
Kendrick Lamar,['hip hop']
Khalid,['pop']
Kid Cudi,['rap']
Kina,['sad lo-fi']
Kontra K,['rap']
Kygo,['pop']
KYLE,['rap']
L7NNON,['pop']
Lady Gaga,['pop']
Lasso,['indie rock']
Lauv,['pop']
Leslie Grace,['latin']
Lewis Capaldi,['pop']
LF SYSTEM,['electronic']
Liam Payne,['pop']
Lil Baby,['hip hop']
Lil Dicky,['rap']
Lil Mosey,['rap']
Lil Nas X,['pop']
Lil Pump,['rap']
Lil Tecca,['rap']
Lil Tjay,['rap']
Lil Uzi Vert,['rap']
Lizzo,['pop']
Logic,['hip hop']
Loredana,['hip hop']
Los Legendarios,['reggaeton']
Lost Frequencies,['pop']
Loud Luxury,['pop']
Louis The Child,['pop']
Luan Santana,['pop']
Luis Fonsi,['latin']
Lunay,['latin']
Mabel,['pop']
MACHETE,['latin']
Machine Gun Kelly,['hip hop']
Madison Beer,['pop']
Majestic,['pop']
Maluma,['reggaeton']
Maneskin,['pop']
Manuel Turizo,['latin']
Marc Segui,['pop']
Mari Fernandez,['latin']
Mark Ronson,['pop']
Maroon 5,['pop']
Marshmello,['pop']
Martin Garrix,['pop']
Masked Wolf,['hip hop']
Matheus and Kauan,['pop']
Matheus Fernandes,['pop']
Mau y Ricky,['latin']
Mc Davi,['electronic']
MC Tairon,['funk']
