rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
30,spotify:track:6SFStUDQZNaGPKWOx9ZiJB,Anne Marie,2002,27,34,13,12993637,7/19/2018
55,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,1 2 3 feat Jason Derulo and De La Ghetto,31,51,22,8699047,7/19/2018
134,spotify:track:5fcM0StdQxMjzulVGhFkHN,Drake,8 Out Of 10,12,58,3,4952719,7/19/2018
157,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,145,170,18,4471738,7/19/2018
126,spotify:track:4IvenHmD0spfFDOKphoUDp,Drake,After Dark feat Static Major and Ty Dolla Sign,40,75,3,5178495,7/19/2018
69,spotify:track:0XySogm94T51XF5F2jumXm,Juice WRLD,All Girls Are The Same,48,65,10,7542056,7/19/2018
60,spotify:track:3qnoOm4fwZPBS116f5hpgF,Kanye West,All Mine,3,59,7,7946165,7/19/2018
174,spotify:track:3uhBIQ7tv8j1FME8cFGEfG,John Legend,All of Me,147,-1,12,4227768,7/19/2018
109,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,All The Stars with SZA,2,113,28,5535661,7/19/2018
136,spotify:track:6VrBWh90BiwWmwKtvwWFcq,J Balvin,Ambiente,109,135,8,4857298,7/19/2018
176,spotify:track:2Ab1wPTEqulaCGoBak1gUo,Matheus and Kauan,Ao Vivo E A Cores,160,177,7,4206628,7/19/2018
37,spotify:track:0E6PsO3ymCfUh7pJQjBgkj,The Carters,APESHIT,37,38,4,11444526,7/19/2018
96,spotify:track:6rbhaJsE4uLzpPf8WYSHDK,Brytiago,Asesina,96,123,3,6109009,7/19/2018
99,spotify:track:7boPPE857KEqCIHNwFkDop,Sia,Audio feat Sia Diplo and Labrinth,76,111,10,6077055,7/19/2018
21,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You From 13 Reasons Why Season 2 Soundtrack,4,19,10,16951697,7/19/2018
93,spotify:track:6IaieqiCVvsNvEt6Y7yOFa,Post Malone,Ball For Me feat Nicki Minaj,15,93,12,6336227,7/19/2018
27,spotify:track:1ZEm9cJC05rawV2tptNfTS,Nicki Minaj,Bed feat Ariana Grande,22,31,5,13496542,7/19/2018
77,spotify:track:5VKSZDsidOFHrtlJb33Syo,Imagine Dragons,Believer,16,87,76,6986327,7/19/2018
102,spotify:track:0SaYeGhSXN0dDWstyNTQ56,Wolfine,Bella Remix,81,106,11,5933789,7/19/2018
139,spotify:track:447yWcDPg1ddgcHBLGpJC0,Louis The Child,Better Not with Wafia,119,155,6,4789162,7/19/2018
11,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,1,9,12,23691320,7/19/2018
127,spotify:track:2RM4jf1Xa9zPgMGRDiht8O,YG,BIG BANK feat 2 Chainz Big Sean Nicki Minaj,127,158,3,5147978,7/19/2018
166,spotify:track:5S1IUPueD0xE0vj4zU3nSf,2 Chainz,Bigger Than You feat Drake and Quavo,71,179,5,4372979,7/19/2018
125,spotify:track:1Jrj3k5L36dPkU6KAclU7g,Drake,Blue Tint,34,71,3,5189725,7/19/2018
32,spotify:track:43V1z6QToNNWNldV4FEG6r,Loud Luxury,Body,32,49,7,12786242,7/19/2018
58,spotify:track:0At2qAoaVjIwWNAqrscXli,Ella Mai,Bood Up,58,64,5,8027586,7/19/2018
25,spotify:track:0kHyKhJMukHEPfeh8s7rdM,Kygo,Born To Be Yours,25,29,5,13905970,7/19/2018
106,spotify:track:1gm616Plq4ScqNi7TVkZ5N,The Weeknd,Call Out My Name,1,92,16,5740829,7/19/2018
101,spotify:track:4178A5NkEjcsGc64jpBO6d,Luis Fonsi,Calypso,101,127,2,5941256,7/19/2018
137,spotify:track:32lItqlMi4LBhb4k0BaSaC,Post Malone,Candy Paint,17,137,44,4808894,7/19/2018
88,spotify:track:7cfvP13Bqb1EyCZQiYsLum,Drake,Cant Take A Joke,19,47,3,6467254,7/19/2018
26,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,9,22,20,13677774,7/19/2018
62,spotify:track:7DrluKkTviBwCc8AV3VGmf,Shakira,Clandestino,62,82,6,7797932,7/19/2018
133,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,2,133,82,5013382,7/19/2018
145,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Congratulations,20,150,78,4672318,7/19/2018
124,spotify:track:3T4UodGkfZObJ43RtA5KFU,OneRepublic,Connection,124,164,2,5202682,7/19/2018
183,spotify:track:6Za3190Sbw39BBC77WSS1C,Natti Natasha,Criminal,21,178,44,4031022,7/19/2018
116,spotify:track:2CWnuF7ht55Ajyeg4WPvWu,BLACKPINK,DDUDU DDUDU,47,108,5,5417805,7/19/2018
144,spotify:track:1j6xOGusnyXq3l6IryKF3G,Piso 21,Dejala Que Vuelva feat Manuel Turizo,33,141,37,4687464,7/19/2018
146,spotify:track:2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,Dembow,65,138,27,4638970,7/19/2018
4,spotify:track:36ONiya0OANYknz0GgJmwB,Drake,Dont Matter To Me with Michael Jackson,2,2,3,28813636,7/19/2018
129,spotify:track:6tpHfEM8eaETzlPOARYWfZ,Lil Pump,Drug Addicts,102,102,2,5126114,7/19/2018
110,spotify:track:6KuqAtoeVzxAYOaMveLNpH,Daddy Yankee,Dura,9,117,26,5521398,7/19/2018
64,spotify:track:6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,Dura Remix,52,62,12,7752843,7/19/2018
135,spotify:track:31M5m42C3EGlbydf9XB5to,Leslie Grace,Duro y Suave,135,140,10,4858479,7/19/2018
34,spotify:track:0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside with Halsey and Khalid,34,-1,1,12037645,7/19/2018
142,spotify:track:2hl6q70unbviGo3g1R7uFx,Luis Fonsi,echame La Culpa,7,134,35,4748325,7/19/2018
111,spotify:track:2XVilv6s9GETnw9PG4T9Mz,Maluma,El Prestamo,52,112,19,5520875,7/19/2018
80,spotify:track:4uloft7ZE54WflsuqFmjC7,Drake,Elevate,9,39,3,6889687,7/19/2018
61,spotify:track:1v1IXPXl73Z7zy6f5tUa9n,Drake,Emotionless,6,28,3,7924641,7/19/2018
117,spotify:track:3JJYIoJ5FyY9E0DGjr7SXF,Lauv,Enemies,107,128,4,5417301,7/19/2018
175,spotify:track:44KKhCyI0BGS6LvVyDqJtH,Lil Pump,Esskeetit,51,166,14,4226932,7/19/2018
90,spotify:track:7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,Estamos Bien,90,97,3,6390645,7/19/2018
74,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares,24,60,31,7234008,7/19/2018
195,spotify:track:3aW0ds4A4tSQDIp75FqWTo,BTS,FAKE LOVE,14,174,9,3948076,7/19/2018
118,spotify:track:0Y4hwUppbGc8aIBmiTz30A,Liam Payne,Familiar,57,118,13,5408831,7/19/2018
152,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,Portugal The Man,Feel It Still,18,153,53,4510386,7/19/2018
169,spotify:track:7p4vHnYXkxlzvfePJVpcTr,Childish Gambino,Feels Like Summer,169,-1,1,4339960,7/19/2018
178,spotify:track:590bUp2TKTfTS9NfiD4Nmn,Drake,Finesse,38,100,3,4179900,7/19/2018
41,spotify:track:33IOhptvC2Qoy2UhjiHXLV,David Guetta,Flames,20,36,17,10913185,7/19/2018
130,spotify:track:1RagpNpkD3KcjXMLGMe99V,Wiz Khalifa,Fr Fr feat Lil Skies,130,-1,1,5112027,7/19/2018
100,spotify:track:10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,Freaky Friday feat Chris Brown,7,95,18,5962499,7/19/2018
44,spotify:track:08bNPGLD8AhKpnnERrAc6G,Marshmello,FRIENDS,4,35,23,10845735,7/19/2018
54,spotify:track:7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,Fuck Love feat Trippie Redd,19,45,44,8705922,7/19/2018
193,spotify:track:78CLZUWhsxIDwObCKOh1fh,Bushido,Fur Euch alle,107,107,2,4000895,7/19/2018
3,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,Girls Like You feat Cardi B Cardi B Version,3,4,7,29296811,7/19/2018
2,spotify:track:7gkWXbAxIYuvtOpcN3p9GJ,Ariana Grande,God is a woman,2,-1,1,29847494,7/19/2018
18,spotify:track:2VWbHHhWnMzKWPUs4IEEW9,Drake,Gods Plan,1,12,26,18033171,7/19/2018
177,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,60,181,81,4196235,7/19/2018
186,spotify:track:0TCnOEVeLQMXOUrpPlM7uY,Rae Sremmurd,Guatemala From Swaecation,111,168,8,4023775,7/19/2018
